搜索城市,搜索词,名称,地址,点评数量,详情url
南京,酒店,锦江之星南京夫子庙中华门地铁站酒店,"江苏省南京市雨花台区雨花西路118号(近地铁一号线中华门站3号出口,斯国际酒店斜对面)",,https://map.qq.com/poi/?sm=11969529657746921854&keyfrom=1
南京,酒店,桔子酒店(南京夫子庙地铁站店),江苏省南京市秦淮区建康路268号(夫子庙地铁站3号口步行410米),,https://map.qq.com/poi/?sm=2456564172188484580&keyfrom=1
南京,酒店,南京水游城假日酒店,江苏省南京市秦淮区建康路1号鹏欣水游城F1,,https://map.qq.com/poi/?sm=12022509080048940325&keyfrom=1
南京,酒店,华东饭店,江苏省南京市鼓楼区北京西路67号,,https://map.qq.com/poi/?sm=17810513888611658180&keyfrom=1
南京,酒店,南京双门楼宾馆,江苏省南京市鼓楼区虎踞北路185号南京友好大厦,,https://map.qq.com/poi/?sm=12564737459157887339&keyfrom=1
南京,酒店,江苏饭店,江苏省南京市秦淮区太平南路305号,,https://map.qq.com/poi/?sm=7678430021834740113&keyfrom=1
南京,酒店,古南都大桥饭店,江苏省南京市鼓楼区建宁路255号(近南京火车站),,https://map.qq.com/poi/?sm=8075719576895979410&keyfrom=1
南京,酒店,泊金·全季南京商厦酒店,江苏省南京市玄武区龙蟠路1号南京商厦F1,,https://map.qq.com/poi/?sm=17209162210407883420&keyfrom=1
南京,酒店,格林豪泰快捷酒店(南京江宁黄金海岸店),"江苏省南京市江宁区北沿路105号(近上元大街,703路公交站武夷花园小区东门)",,https://map.qq.com/poi/?sm=10505803310456159901&keyfrom=1
南京,酒店,汉庭酒店(南京仙鹤门紫东商业街店),江苏省南京市栖霞区紫东路2号G3栋,,https://map.qq.com/poi/?sm=10889504207210019077&keyfrom=1
南京,酒店,南京悦客假日酒店,江苏省南京市栖霞区迈尧路396号,,https://map.qq.com/poi/?sm=3787521245932976013&keyfrom=1
南京,酒店,南京世茂滨江希尔顿酒店,江苏省南京市鼓楼区淮滨路1号(近南通路),,https://map.qq.com/poi/?sm=14798826941859728767&keyfrom=1
南京,酒店,锦江南京饭店,江苏省南京市鼓楼区中山北路259号,,https://map.qq.com/poi/?sm=1378521423311170666&keyfrom=1
南京,酒店,南京苏宁钟山国际高尔夫酒店,江苏省南京市玄武区环陵路9号,,https://map.qq.com/poi/?sm=4489874662854226901&keyfrom=1
南京,酒店,南京紫东酒店(紫东生态会议中心),江苏省南京市栖霞区马群街道紫东路2号紫东生态会议中心(仙鹤门地铁站十字路口南500米紫东国际创意园东区),,https://map.qq.com/poi/?sm=2295875974579931162&keyfrom=1
南京,酒店,金元宝大酒店(金箔路店),江苏省南京市江宁区金箔路58号(天印大道),,https://map.qq.com/poi/?sm=4087441349522231960&keyfrom=1
南京,酒店,南京弘阳酒店,江苏省南京市浦口区大桥北路48号,,https://map.qq.com/poi/?sm=11526057812344342177&keyfrom=1
南京,酒店,南京希尔顿酒店,江苏省南京市建邺区江东中路100号,,https://map.qq.com/poi/?sm=12728631492102119758&keyfrom=1
南京,酒店,美豪丽致酒店(南京南站明发广场地铁站店),江苏省南京市雨花台区玉兰路99号,15条点评,https://map.qq.com/poi/?sm=12317792921756725348&keyfrom=1
南京,酒店,南京富力万达嘉华酒店,江苏省南京市江宁区竹山路55号,,https://map.qq.com/poi/?sm=7934734234404205870&keyfrom=1
南京,酒店,南京水秀苑大酒店,江苏省南京市江宁区佳湖西路11号,,https://map.qq.com/poi/?sm=5154411057991085469&keyfrom=1
南京,酒店,南京黛思国际酒店,江苏省南京市雨花台区雨花西路97号,,https://map.qq.com/poi/?sm=10042411177813392888&keyfrom=1
南京,酒店,珍宝假日饭店(奥体店),江苏省南京市建邺区江东中路188号,,https://map.qq.com/poi/?sm=18352965844769153592&keyfrom=1
南京,酒店,南京仙林宾馆,江苏省南京市栖霞区文苑路1号,,https://map.qq.com/poi/?sm=1072441114851898806&keyfrom=1
南京,酒店,南京纳尔达斯大酒店,江苏省南京市江宁区宏运大道1890号,,https://map.qq.com/poi/?sm=14955516325155731431&keyfrom=1
南京,酒店,南京金奥费尔蒙酒店,江苏省南京市建邺区江东中路333号,,https://map.qq.com/poi/?sm=15279295570585587033&keyfrom=1
南京,酒店,南京玄武苏宁诺富特酒店,江苏省南京市玄武区苏宁大道9号徐庄软件园,,https://map.qq.com/poi/?sm=5717198558432062546&keyfrom=1
南京,酒店,金陵新城酒店南京,江苏省南京市六合区江北新区葛塘街道园西路488号,,https://map.qq.com/poi/?sm=11232521997384019420&keyfrom=1
