搜索城市,搜索词,名称,地址,点评数量,详情url
南京,美食,好记大酒店(夫子庙店),江苏省南京市秦淮区中华路50号江苏国际经贸大厦3层,,https://map.qq.com/poi/?sm=3397586317019561084&keyfrom=1
南京,美食,羊乐锅·火锅·烧烤(夫子庙店),江苏省南京市秦淮区长白街72号(近健康路),15条点评,https://map.qq.com/poi/?sm=14264202861137373245&keyfrom=1
南京,美食,永和园酒楼(太平南路店),江苏省南京市秦淮区建康路68号,15条点评,https://map.qq.com/poi/?sm=12232202167023025663&keyfrom=1
南京,美食,WANG STEAK王品牛排(中山南路店),江苏省南京市秦淮区中山南路熙南里商业街区9号,,https://map.qq.com/poi/?sm=8344098988448127230&keyfrom=1
南京,美食,鲍师傅糕点(新街口店),江苏省南京市秦淮区中山南路67号大华大戏院1楼北侧(地铁13号出口),15条点评,https://map.qq.com/poi/?sm=12791406333267075543&keyfrom=1
南京,美食,胖子砂锅(南湖店),江苏省南京市建邺区文体西街10栋19号,15条点评,https://map.qq.com/poi/?sm=7666303226651866892&keyfrom=1
南京,美食,徐州赵家全羊馆(南京总店),江苏省南京市鼓楼区铁路北街100号,15条点评,https://map.qq.com/poi/?sm=2440404506799921351&keyfrom=1
南京,美食,总参北京涮羊肉(紫金南苑商业中心店),江苏省南京市秦淮区海福巷79号紫金南苑26幢3楼,15条点评,https://map.qq.com/poi/?sm=12394175370729319245&keyfrom=1
南京,美食,红杏酒家(清凉门店),江苏省南京市鼓楼区清凉门大街18号(近北圩路),15条点评,https://map.qq.com/poi/?sm=9570362747218131129&keyfrom=1
南京,美食,汪家馄饨(集庆路店),江苏省南京市秦淮区集庆路124号泽天大酒店对面,15条点评,https://map.qq.com/poi/?sm=14473442294695378170&keyfrom=1
南京,美食,夜上海(月牙湖公园店),江苏省南京市秦淮区后标营路51号月牙湖公园北区(近北门),15条点评,https://map.qq.com/poi/?sm=109860536921189492&keyfrom=1
南京,美食,洞子口重庆鲜货火锅(虹悦后街店),江苏省南京市雨花台区长虹路415号虹悦后街3层,15条点评,https://map.qq.com/poi/?sm=15617529731999264008&keyfrom=1
南京,美食,泰顺江南春面馆,江苏省南京市秦淮区应天大街387-28号临,15条点评,https://map.qq.com/poi/?sm=3344322092607846365&keyfrom=1
南京,美食,胖鱼头(大石坝店),江苏省南京市秦淮区大石坝街28号,15条点评,https://map.qq.com/poi/?sm=6806608653605255441&keyfrom=1
南京,美食,徐家鸭子店(秦虹总店),江苏省南京市秦淮区秦虹南路36号,15条点评,https://map.qq.com/poi/?sm=6466884669796973043&keyfrom=1
南京,美食,虾婆婆晚宴店,江苏省南京市鼓楼区定淮门大街99号,15条点评,https://map.qq.com/poi/?sm=7151274725823628221&keyfrom=1
南京,美食,晶丽海鲜自助餐厅(中山陵店),江苏省南京市玄武区中山陵5号南京东郊国宾馆16号楼紫熙楼1层,16条点评,https://map.qq.com/poi/?sm=15716788136719848435&keyfrom=1
南京,美食,咸亨酒店(夫子庙店),江苏省南京市秦淮区夫子庙大石坝街138号(近健康路),,https://map.qq.com/poi/?sm=1060830788774061298&keyfrom=1
南京,美食,陈记一牛火锅(金域中央星河广场店),江苏省南京市鼓楼区幕府西路星河广场17栋1单元626室,15条点评,https://map.qq.com/poi/?sm=9565620846151301298&keyfrom=1
南京,美食,同庆楼(南京建邺万达店),江苏省南京市建邺区江东中路98号万达广场(建邺店)F4层-041,16条点评,https://map.qq.com/poi/?sm=1363700040267734093&keyfrom=1
南京,美食,乐和餐饮(江东北路店),江苏省南京市鼓楼区江东快速路路东40米(龙江地铁站2号口步行230米),15条点评,https://map.qq.com/poi/?sm=1948641076330998031&keyfrom=1
南京,美食,海底捞火锅(上元大街店),江苏省南京市江宁区上元大街238号3楼,,https://map.qq.com/poi/?sm=8387676900255621102&keyfrom=1
南京,美食,珠山茶艺馆,江苏省南京市鼓楼区郑和南路三汊河111号(近渡江胜利纪念馆新馆),,https://map.qq.com/poi/?sm=3913476700713626231&keyfrom=1
南京,美食,胖鱼头健康美食广场(长虹路店),江苏省南京市雨花台区长虹路449号,15条点评,https://map.qq.com/poi/?sm=8870214768786544745&keyfrom=1
南京,美食,乐和餐饮(建邺万达店),江苏省南京市建邺区江东中路98号万达广场(建邺店)F3,15条点评,https://map.qq.com/poi/?sm=1271460369443204978&keyfrom=1
南京,美食,新疆玉石买买提烧烤(卡子门店),江苏省南京市雨花台区卡子门大街100号(新盖门面房第二间麦德龙肯德基东侧),15条点评,https://map.qq.com/poi/?sm=13938618162133993306&keyfrom=1
南京,美食,老虎滩大连海鲜烧烤(建邺总店),江苏省南京市建邺区云锦路凤栖苑131-1号(凤栖苑小区西侧门面房),15条点评,https://map.qq.com/poi/?sm=6413252001990709169&keyfrom=1
南京,美食,褚记北京烤鸭店(小卫街店),江苏省南京市玄武区小卫街20号,15条点评,https://map.qq.com/poi/?sm=10482096890723387530&keyfrom=1
南京,美食,宝记烧烤(文体路总店),江苏省南京市建邺区文体路6号(南苑新村),15条点评,https://map.qq.com/poi/?sm=15855337309573237763&keyfrom=1
南京,美食,君煌大酒店(乐和餐饮经五路店),江苏省南京市栖霞区经五路1-2号(红太阳装饰城旁),15条点评,https://map.qq.com/poi/?sm=12202606535820892674&keyfrom=1
南京,美食,江宁肚包鸡,江苏省南京市江宁区宏运大道4603号,15条点评,https://map.qq.com/poi/?sm=15429594012434058279&keyfrom=1
南京,美食,绿杨春淮扬宴生态酒店(庐山路店),江苏省南京市建邺区庐山路18号,15条点评,https://map.qq.com/poi/?sm=11657681308278526188&keyfrom=1
南京,美食,向阳渔港(江东店),江苏省南京市鼓楼区东宝路8号(华润苏果隔壁),15条点评,https://map.qq.com/poi/?sm=11384443688793425188&keyfrom=1
南京,美食,小厨娘淮扬菜·宴会厅(天印大道店),江苏省南京市江宁区天印大道1139号(近昌宁路),15条点评,https://map.qq.com/poi/?sm=15118192403734935412&keyfrom=1
南京,美食,夜上海当季海鲜(虹悦城店),江苏省南京市雨花台区长虹路222号虹悦城F3,15条点评,https://map.qq.com/poi/?sm=14212530433817712960&keyfrom=1
南京,美食,喜庆楼·家宴,江苏省南京市江宁区盈嘉·青春渡(金盛路北),15条点评,https://map.qq.com/poi/?sm=2874404511412103914&keyfrom=1
南京,美食,井水小厨·湘菜(活力广场店),江苏省南京市秦淮区卡子门大街99号复地活力广场2层,,https://map.qq.com/poi/?sm=4926284113488694614&keyfrom=1
南京,美食,小厨娘淮扬菜(江宁弘阳店),江苏省南京市江宁区双龙大道1222号弘阳家居广场F5层,15条点评,https://map.qq.com/poi/?sm=3477149168063628484&keyfrom=1
南京,美食,前门鸭王(江东中路店),江苏省南京市建邺区江东中路148号(兴隆大街地铁站1号口步行390米),15条点评,https://map.qq.com/poi/?sm=15387303557617749161&keyfrom=1
